Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-04-12,ABBOTINDIA,EQ,890.2,888.05,903.0,883.5,903.0,894.3,894.1,1202.0,107470800000.0,,580.0,0.4825
2010-04-13,ABBOTINDIA,EQ,894.3,899.75,902.0,867.0,870.0,875.05,883.1,1621.0,143150745000.0,,1223.0,0.7545000000000001
2010-04-15,ABBOTINDIA,EQ,875.05,864.0,906.95,864.0,900.0,900.0,900.2,2965.0,266910015000.0,,2487.0,0.8388
2010-04-16,ABBOTINDIA,EQ,900.0,900.15,905.0,880.0,890.0,890.0,897.71,10434.0,936674100000.0,,9701.0,0.9297
2010-04-19,ABBOTINDIA,EQ,890.0,872.05,904.9,872.05,900.0,900.3,897.02,1753.0,157246745000.0,,1431.0,0.8163
2010-04-20,ABBOTINDIA,EQ,900.3,893.05,912.0,893.05,910.0,907.2,906.76,3174.0,287805800000.0,,2111.0,0.6651
2010-04-21,ABBOTINDIA,EQ,907.2,906.0,945.0,900.0,919.95,914.05,921.28,11535.0,1062699010000.0,,6407.0,0.5554
2010-04-22,ABBOTINDIA,EQ,914.05,907.5,950.0,907.5,920.1,935.8,936.74,5089.0,476704809999.9999,,3192.0,0.6272
2010-04-23,ABBOTINDIA,EQ,935.8,952.55,952.55,935.25,945.2,947.25,944.52,1377.0,130061065000.0,,1267.0,0.9201
2010-04-26,ABBOTINDIA,EQ,947.25,944.75,950.0,917.25,933.0,938.35,940.22,1880.0,176761220000.0,,245.0,0.1303
2010-04-27,ABBOTINDIA,EQ,938.35,922.2,947.25,922.2,939.0,935.55,938.02,315.0,29547610000.0,,218.0,0.6920999999999999
2010-04-28,ABBOTINDIA,EQ,935.55,923.05,933.95,923.05,925.5,927.0,926.57,309.0,28630860000.0,,209.0,0.6764
2010-04-29,ABBOTINDIA,EQ,927.0,880.0,940.0,880.0,940.0,937.0,932.83,2013.0,187778250000.0,,1876.0,0.9319
2010-04-30,ABBOTINDIA,EQ,937.0,940.0,940.0,935.0,935.05,935.0,936.66,212.0,19857125000.0,,187.0,0.8821
2010-05-03,ABBOTINDIA,EQ,935.0,940.0,940.0,930.0,937.0,937.65,935.06,391.0,36560900000.0,,391.0,1.0
2010-05-04,ABBOTINDIA,EQ,937.65,930.0,945.0,911.05,940.0,924.1,933.88,3090.0,288570425000.0,,2959.0,0.9576
